NTAName,GeoID,Borough,Pop,PopZ,PopY,PopX,PopBB,Hsp_E,Hsp_P,Wt_E,Wt_P,Bl_E,Bl_P,Asn_E,Asn_P,Rc2pl_E,Rc2pl_P,Oths_E,Oths_P,MdHHIncE,MnHHIncE
St. Albans,QN1205,Queens,"54,951",10124.0,11032.0,15741.0,10239.0,"4,075",7.4,854,1.6,"43,861",79.8,"1,501",2.7,"2,315",4.2,2345.0,4.3,94606.0,114300.0
Hollis,QN1206,Queens,"22,934",4204.0,4711.0,6148.0,4505.0,"2,761",12.0,705,3.1,"11,546",50.3,"5,562",24.3,"1,045",4.6,1315.0,5.7,82004.0,104951.0
Glen Oaks-Floral Park-New Hyde Park,QN1301,Queens,"24,109",2858.0,4201.0,5673.0,6500.0,"2,463",10.2,"7,818",32.4,949,3.9,"11,808",49.0,447,1.9,624.0,2.6,113329.0,159231.0
Bellerose,QN1302,Queens,"27,529",3991.0,5251.0,6996.0,7427.0,"5,334",19.4,"5,483",19.9,"2,549",9.3,"12,676",46.0,958,3.5,529.0,1.9,105481.0,123809.0
Queens Village,QN1303,Queens,"56,593",10605.0,10734.0,15012.0,12130.0,"12,063",21.3,"2,645",4.7,"23,090",40.8,"12,383",21.9,"2,937",5.2,3475.0,6.1,95490.0,114438.0
Cambria Heights,QN1304,Queens,"21,017",3596.0,3568.0,6199.0,4733.0,"1,178",5.6,510,2.4,"18,388",87.5,295,1.4,460,2.2,186.0,0.9,118381.0,130939.0
Laurelton,QN1305,Queens,"27,010",5044.0,5035.0,7878.0,5174.0,"1,689",6.3,249,0.9,"23,616",87.4,465,1.7,384,1.4,607.0,2.3,108545.0,126704.0
Springfield Gardens (South)-Brookville,QN1306,Queens,"24,041",4667.0,5482.0,6564.0,3961.0,"2,550",10.6,708,2.9,"19,046",79.2,598,2.5,849,3.5,290.0,1.2,113122.0,124459.0
Rosedale,QN1307,Queens,"26,385",4614.0,5712.0,6856.0,5841.0,"2,487",9.4,"1,719",6.5,"20,514",77.7,703,2.7,668,2.5,294.0,1.1,101671.0,120623.0
Far Rockaway-Bayswater,QN1401,Queens,"64,945",14575.0,12242.0,14326.0,10815.0,"16,710",25.7,"16,601",25.6,"25,691",39.6,"2,692",4.1,"2,500",3.8,751.0,1.2,59782.0,92294.0
Rockaway Beach-Arverne-Edgemere,QN1402,Queens,"43,865",9132.0,7589.0,11984.0,7403.0,"11,623",26.5,"8,455",19.3,"20,102",45.8,"1,639",3.7,"1,281",2.9,765.0,1.8,58517.0,88291.0
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN1403,Queens,"25,416",3855.0,4339.0,6855.0,6077.0,"3,308",13.0,"20,511",80.7,687,2.7,646,2.5,258,1.0,6.0,0.0,107963.0,134862.0
St. George-New Brighton,SI0101,Staten Island,"19,140",3330.0,4679.0,4699.0,3667.0,"5,935",31.0,"4,872",25.5,"6,015",31.4,"1,378",7.2,582,3.0,358.0,1.8,70899.0,98172.0
Tompkinsville-Stapleton-Clifton-Fox Hills,SI0102,Staten Island,"17,224",3374.0,3522.0,4879.0,2725.0,"5,769",33.5,"3,845",22.3,"6,142",35.7,"1,177",6.8,265,1.5,26.0,0.1,54654.0,76946.0
Rosebank-Shore Acres-Park Hill,SI0103,Staten Island,"23,705",4092.0,5085.0,6890.0,4636.0,"5,307",22.4,"7,648",32.3,"4,949",20.9,"5,165",21.8,482,2.0,154.0,0.6,72728.0,92198.0
West New Brighton-Silver Lake-Grymes Hill,SI0104,Staten Island,"36,360",7602.0,7982.0,9155.0,6294.0,"8,353",23.0,"17,903",49.2,"6,719",18.5,"1,849",5.1,"1,440",4.0,96.0,0.2,104903.0,125647.0
Westerleigh-Castleton Corners,SI0105,Staten Island,"32,585",5872.0,6973.0,8895.0,6023.0,"5,507",16.9,"20,954",64.3,927,2.8,"4,128",12.7,962,3.0,107.0,0.3,122330.0,138565.0
Port Richmond,SI0106,Staten Island,"20,202",4189.0,4164.0,5564.0,2743.0,"8,984",44.5,"4,235",21.0,"5,474",27.1,"1,035",5.1,406,2.0,68.0,0.4,72872.0,90507.0
Mariner's Harbor-Arlington-Graniteville,SI0107,Staten Island,"33,580",7489.0,7003.0,8589.0,5992.0,"12,304",36.6,"7,333",21.8,"8,499",25.3,"3,993",11.9,"1,280",3.8,171.0,0.6,86509.0,108371.0
Grasmere-Arrochar-South Beach-Dongan Hills,SI0201,Staten Island,"36,080",6198.0,6940.0,9874.0,7525.0,"5,112",14.2,"22,172",61.5,"1,568",4.3,"6,243",17.3,806,2.2,179.0,0.5,81910.0,112770.0
New Dorp-Midland Beach,SI0202,Staten Island,"28,551",5901.0,5420.0,8080.0,5114.0,"4,435",15.5,"16,311",57.1,"1,030",3.6,"6,000",21.0,687,2.4,88.0,0.3,92963.0,115557.0
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,SI0203,Staten Island,"33,719",6578.0,5231.0,7844.0,7073.0,"3,021",9.0,"22,796",67.6,957,2.8,"5,657",16.8,688,2.0,600.0,1.8,104412.0,152753.0
New Springville-Willowbrook-Bulls Head-Travis,SI0204,Staten Island,"43,014",6790.0,8567.0,11781.0,9122.0,"7,440",17.3,"25,608",59.5,"1,199",2.8,"8,094",18.8,627,1.5,46.0,0.1,99335.0,121789.0
Oakwood-Richmondtown,SI0301,Staten Island,"20,664",3384.0,3458.0,5649.0,5149.0,"3,051",14.8,"14,549",70.4,152,0.7,"1,844",8.9,989,4.8,79.0,0.4,101929.0,118632.0
Great Kills-Eltingville,SI0302,Staten Island,"56,351",10520.0,10657.0,15554.0,12490.0,"7,236",12.8,"43,752",77.6,291,0.5,"4,176",7.4,657,1.2,239.0,0.4,119633.0,132215.0
Arden Heights-Rossville,SI0303,Staten Island,"31,559",5843.0,6268.0,8642.0,6179.0,"4,556",14.4,"23,323",73.9,175,0.6,"2,804",8.9,565,1.8,136.0,0.5,107701.0,123246.0
Annadale-Huguenot-Prince's Bay-Woodrow,SI0304,Staten Island,"42,756",7986.0,7619.0,11037.0,8927.0,"3,481",8.1,"35,849",83.8,390,0.9,"2,282",5.3,510,1.2,244.0,0.6,112914.0,155088.0
