County,License Number,Establishment Type,Entity Name,DBA Name,City,Zip Code,Georeference,Address,Normalized DBA Name,Is Chain Store,Is Grocery Store,Google Maps Link,Latitude,Longitude,Neighborhood
QUEENS,743128,AC,102 DELI & GROCERY CORP,102 DELI & GROCERY,RICHMOND HILL,11418,POINT (-73.845090509 40.695066285),102-02 JAMAICA AVE,102 deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=102+DELI+&+GROCERY+102-02+JAMAICA+AVE+RICHMOND+HILL+,40.69506629,-73.84509051,Richmond Hill 
NEW YORK,620325,AC,LITTLE M CORP,LITTLE MICHAEL,NEW YORK,10016,POINT (-73.98267551 40.742620887),118 LEXINGTON AVE,little michael,No,Yes,https://www.google.com/maps/search/?api=1&query=LITTLE+MICHAEL+118+LEXINGTON+AVE+NEW+YORK+,40.74262089,-73.98267551,Kips Bay (MIDTOWN EAST (MIDTOWN))
NEW YORK,620370,AC,GLAMOUR ENTERPRISES INC,39 GOURMET DELI&CONV,NEW YORK,10016,POINT (-73.977231632 40.749590607),335 LEXINGTON AVE,39 gourmet deliconv,No,Yes,https://www.google.com/maps/search/?api=1&query=39+GOURMET+DELI&CONV+335+LEXINGTON+AVE+NEW+YORK+,40.74959061,-73.97723163,Murray Hill (MIDTOWN EAST (MIDTOWN))
QUEENS,748456,A,102 ST BODEGA CORP,102 ST BODEGA,CORONA,11368,POINT (-73.865826782 40.753877354),42-07 102ND STREET,102 st bodega,No,Yes,https://www.google.com/maps/search/?api=1&query=102+ST+BODEGA+42-07+102ND+STREET+CORONA+,40.75387735,-73.86582678,Corona
BRONX,603764,AC,1029 SIMPSON DELI & GROCERY CORP,1029 SIMPSON DELI&GROCERY,BRONX,10459,POINT (-73.893088388 40.824256014),1029 WESTCHESTER AVE,1029 simpson deligrocery,No,Yes,https://www.google.com/maps/search/?api=1&query=1029+SIMPSON+DELI&GROCERY+1029+WESTCHESTER+AVE+BRONX+,40.82425601,-73.89308839,Longwood
QUEENS,758099,AC,103 DELI GROCERY CORP,103 DELI GROCERY,CORONA,11368,POINT (-73.864793849 40.757543566),103-22 NORTHERN BLVD,103 deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=103+DELI+GROCERY+103-22+NORTHERN+BLVD+CORONA+,40.75754357,-73.86479385,Corona
QUEENS,639391,AC,10325 STOP 1 DELI INC,10325 STOP 1 DELI,SOUTH OZONE PARK,11417,POINT (-73.835910481 40.679505784),103-25 ROCKAWAY BLVD,10325 stop 1 deli,No,Yes,https://www.google.com/maps/search/?api=1&query=10325+STOP+1+DELI+103-25+ROCKAWAY+BLVD+SOUTH+OZONE+PARK+,40.67950578,-73.83591048,Ozone Park
BRONX,741345,AC,1033 BEST DELI & GRILL CORP,1033 BEST DELI & GRILL,BRONX,10472,POINT (-73.850428943 40.828423873),1033-1035 CASTLE HILL AVENUE,1033 best deli grill,No,Yes,https://www.google.com/maps/search/?api=1&query=1033+BEST+DELI+&+GRILL+1033-1035+CASTLE+HILL+AVENUE+BRONX+,40.82842387,-73.85042894,Unionport
NEW YORK,620375,AC,C&N GROCERY STORE INC,ANDYS DELI,NEW YORK,10023,POINT (-73.980575341 40.779761938),295 AMSTERDAM AVE,andys deli,Yes,Yes,https://www.google.com/maps/search/?api=1&query=ANDYS+DELI+295+AMSTERDAM+AVE+NEW+YORK+,40.77976194,-73.98057534,Upper West Side
NEW YORK,620382,ABC,ZABARS & CO INC,ZABARS,NEW YORK,10024,POINT (-73.979555179 40.784862661),2245 BROADWAY,zabars,No,Yes,https://www.google.com/maps/search/?api=1&query=ZABARS+2245+BROADWAY+NEW+YORK+,40.78486266,-73.97955518,Upper West Side
