County,License Number,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,City,Zip Code,Square Footage,Georeference,Full Address,Normalized DBA Name,Is Chain Store,Is Grocery Store
QUEENS,746121,AC,PASION MEXICANA INC,PASION MEXICANA,69-15,GRAND AVE,,MASPETH,11378,,POINT (-73.894964258 40.726305847),69-15 GRAND AVE,pasion mexicana,No,Yes
QUEENS,671306,A,ROBIN GROCERY & NEWS INC,ROBIN GROCERY & NEWS,,63-37 39TH AVE,,WOODSIDE,11377,1000,POINT (-73.906015 40.745539),nan 63-37 39TH AVE,robin grocery news,No,Yes
BRONX,710858,AC,PASSION INT FOOD DIST INC,PASSION INT FOOD DIST,3411A,BOSTON RD,,BRONX,10469,1200,POINT (-73.850356775 40.875857901),3411A BOSTON RD,passion int food dist,No,Yes
KINGS,617723,ABCH,PASTA FRESCA AND RAVIOLI CORP,PASTA FRESCA,6406,11TH AVE,,BROOKLYN,11219,5000,POINT (-74.005590628 40.629177736),6406 11TH AVE,pasta fresca,No,Yes
QUEENS,752210,AC,PASTELES CAPY LLC,PASTELES CAPY,16-36,DECATUR ST,,RIDGEWOOD,11385,,POINT (-73.898644602 40.697393797),16-36 DECATUR ST,pasteles capy,No,Yes
RICHMOND,645442,AC,BUD INC,PASTOSA RAVIOLI,3817,RICHMOND AVE,,STATEN ISLAND,10312,5000,POINT (-74.165333442 40.545302839),3817 RICHMOND AVE,pastosa ravioli,Yes,Yes
RICHMOND,640413,AC,RICHMOND RD RAVIOLI CORP,PASTOSA RAVIOLI,1076,RICHMOND RD,,STATEN ISLAND,10304,2200,POINT (-74.092267889 40.600528643),1076 RICHMOND RD,pastosa ravioli,Yes,Yes
RICHMOND,640032,AC,ANDY PASTA LTD,PASTOSA RAVIOLI,764,FOREST AVE,,STATEN ISLAND,10310,1400,POINT (-74.114492673 40.629047356),764 FOREST AVE,pastosa ravioli,Yes,Yes
KINGS,615496,ACHK,AA PASTOSA LLC,PASTOSA RAVIOLI,7425,NEW UTRECHT AVE,,BROOKLYN,11204,6000,POINT (-73.999759757 40.615894976),7425 NEW UTRECHT AVE,pastosa ravioli,Yes,Yes
BRONX,606960,AC,UNCLE MIKES RAVIOLI CO INC,PASTOSA RAVIOLI,3812,E TREMONT AVE,,BRONX,10465,2500,POINT (-73.820658016 40.824817811),3812 E TREMONT AVE,pastosa ravioli,Yes,Yes
KINGS,617116,ABCH,117 BRIGHTON BEACH BKEY&DELI INC,ROCCOS BAKERY&DELI,117,BRIGHTON BEACH AV,,BROOKLYN,11235,1000,POINT (-73.967597221 40.576524926),117 BRIGHTON BEACH AV,roccos bakerydeli,No,No
QUEENS,636076,ACK,M&N GROCERS INC,PATEL BROS,37-27-33,74TH ST,,JACKSON HEIGHTS,11372,6000,POINT (-73.891551063 40.748137059),37-27-33 74TH ST,patel bros,No,Yes
QUEENS,631926,AC,JAY JAHAL INC,PATEL BROTHERS,251-08,HILLSIDE AVE,,BELLEROSE,11426,8000,POINT (-73.700156662 40.73911986),251-08 HILLSIDE AVE,patel brothers,No,Yes
KINGS,718411,AC,1525 K FOOD LLC,PATHMARK,1525,ALBANY AVE,,BROOKLYN,11210,5900,POINT (-73.937211984 40.635643872),1525 ALBANY AVE,pathmark,No,Yes
KINGS,702238,AC,FAISON MARIE J,PATIENCE VARIETY STORE,1729,NOSTRAND AVE,,BROOKLYN,11226,800,POINT (-73.948645654 40.643648086),1729 NOSTRAND AVE,patience variety store,No,Yes
BRONX,759484,AC,ROCHELL DELI GROCERY CORP,ROCHELL DELI GROCERY,984,JENNINGS STREET,,BRONX,10460,,POINT (-73.887778033 40.831301758),984 JENNINGS STREET,rochell deli grocery,No,Yes
KINGS,751106,AC,ROCHESTER GOURMET CORP,ROCHESTER GOURMET,22,ROCHESTER AVE,,BROOKLYN,11233,,POINT (-73.927585536 40.678325654),22 ROCHESTER AVE,rochester gourmet,No,Yes
