County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
KINGS,755126,Store,AC,T&T ORGANIC MARKET INC,T&T ORGANIC MARKET,1030,NOSTRAND AVE,,,BROOKLYN,NY,11225,1500,POINT (-73.951084536 40.66341274)
KINGS,755124,Store,AC,DANIELS FARM CORP,DANIELS FARM,920,KINGS HIGHWAY,,,BROOKLYN,NY,11223,2500,POINT (-73.963112484 40.606822488)
KINGS,755123,Store,AC,S&F FOODS AND GROCERY INC,NEVINS FOOD MART,26,NEVINS ST,,,BROOKLYN,NY,11217,1000,POINT (-73.981410514 40.688110101)
KINGS,755117,Store,AC,BUSHWICK DELI INC V,BUSHWICK DELI,1449,MYRTLE AVE,,,BROOKLYN,NY,11237,,POINT (-73.917886416 40.69896848)
KINGS,755116,Store,AC,OASIS DELI INC,OASIS DELI,338,WILSON AVENUE,,,BROOKLYN,NY,11221,,POINT (-73.917029115 40.695627663)
BRONX,755104,Store,AC,LA BAHIA DELI GROCERY CORP,LA BAHIA DELI GROCERY,1975,LAFONTAINE AVE.,,,BRONX,NY,10457,,POINT (-73.894442652 40.84693166)
BRONX,755100,Store,A,MOTHERLAND AFRICAN & CARIBBEAN FOOD MKT,MOTHERLAND AFRICAN & CARIBBEAN FOOD MKT,667,ALLERTON AVE,,,BRONX,NY,10467,,POINT (-73.868574758 40.865564086)
KINGS,755099,Store,AC,NEW SUNSET DELI CORP,NEW SUNSET DELI,4228,5TH AVE,,,BROOKLYN,NY,11232,800,POINT (-74.00626755 40.649196068)
QUEENS,755098,Store,AC,BIG LOU 2 GROCERY & DELI CORP,BIG LOU 2 GROCERY & DELI,153-21,ROCKAWAY BLVD,,,JAMAICA,NY,11434,1250,POINT (-73.782919335 40.670082304)
NEW YORK,755097,Store,A,KSSWINE LLC,PARCELLE,139E,DIVISION STREET,,,NEW YORK,NY,10002,,POINT (-73.990983737 40.714433343)
NEW YORK,755085,Store,AC,N COZY GOURMET INC,N COZY GOURMET,565,GRAND ST,,,NEW YORK,NY,10002,,POINT (-73.979847708 40.713784793)
KINGS,755084,Store,AC,BUSHWICK ORGANIC DELI CORP,BUSHWICK ORGANIC DELI,1222,BUSHWICK AVE,,,BROOKLYN,NY,11221,,POINT (-73.915422304 40.687737316)
QUEENS,755083,Store,AC,LIN SEAFOOD INC,LIN SEAFOOD,71-64,AUSTIN ST,,,FOREST HILLS,NY,11375,3000,POINT (-73.842656405 40.719261612)
KINGS,755075,Store,AC,SEA HOUSE NY INC,SEA HOUSE NY,541,NOSTRAND AVE,,,BROOKLYN,NY,11216,800,POINT (-73.949506308 40.678930828)
NEW YORK,755074,Store,AC,WING FUNG 2019 INC,WING FUNG 2019,217,GRAND ST STORE A,,,NEW YORK,NY,10013,,POINT (-73.995981279 40.718757608)
NEW YORK,755073,Store,AC,E&R DELI JUICE BAR CORP,E&R DELI JUICE BAR,308,EAST 116TH ST,,,NEW YORK,NY,10029,1800,POINT (-73.93725381 40.796619286)
BRONX,755064,Store,AC,BEL CANTO FOODS LLC,DOWN EAST SEAFOOD,311,MANIDA ST,,,BRONX,NY,10474,,POINT (-73.886537931 40.806879574)
RICHMOND,755061,Store,A,ADAM GROCERY & EXOTIC CORP,ADAM GROCERY & EXOTIC,658,NEW DORP LANE,,,STATEN ISLAND,NY,10306,1600,POINT (-74.101883692 40.566423391)
KINGS,755060,Store,AC,322 MUBAREZ GROCERY CORP,322 MUBAREZ GROCERY,322,DEKALB AVE,,,BROOKLYN,NY,11205,,POINT (-73.965553545 40.689633848)
NEW YORK,755059,Store,AC,143 AMSTERDAM DELI CORP,143 AMSTERDAM DELI,1681,AMSTERDAM AVE,,,NEW YORK,NY,10031,,POINT (-73.948280371 40.824017758)
QUEENS,755058,Store,AC,NUT ORCHARD INC,NUT ORCHARD,41-22,MAIN STREET,,,FLUSHING,NY,11355,1500,POINT (-73.829363293 40.757572484)
BRONX,755057,Store,AC,1420 DELI FOOD CORP,1420 DELI FOOD,1420,CLAY AVENUE,,,BRONX,NY,10456,,POINT (-73.907491767 40.837322604)
NEW YORK,755056,Store,AC,301 STOP ONE CONVENIENCE CORP,301 STOP ONE CONVENIENCE,301,W 154TH STREET,,,NEW YORK,NY,10039,1200,POINT (-73.938020921 40.828718581)
NEW YORK,755055,Store,AC,MY ALCHIMISTA LLC,ALCHIMISTA SPIKED ICE CREAM,2191,3RD AVENUE -,E-TERRA KITCHEN,,NEW YORK,NY,10035,40,POINT (-73.938225356 40.800111145)
RICHMOND,755050,Store,AC,TOMPKINS VALUE DELI INC,TOMPKINS VALUE DELI,49,VICTORY BLVD,,,STATEN ISLAND,NY,10301,1000,POINT (-74.077346257 40.638023243)
KINGS,755041,Store,AC,OSO MINI MARKET CORP,OSO MINI MARKET,1341,BUSHWICK AVENUE,,,BROOKLYN,NY,11207,2000,POINT (-73.911381892 40.685885586)
KINGS,755024,Store,AC,YEE MAR LAR,AHDIPATI,710,CONEY ISLAND AVE,,,BROOKLYN,NY,11218,,POINT (-73.969314673 40.64034767)
KINGS,755023,Store,AC,NEYMAR FARMS IMPORT LLC,K & S FARMS,5109,CHURCH AVE,,,BROOKLYN,NY,11203,2000,POINT (-73.929291257 40.652022303)
RICHMOND,755020,Store,AC,FAMOUS SNACK STORE INC,FAMOUS SNACK STORE,411,JERSEY ST,,,STATEN ISLAND,NY,10301,500,POINT (-74.087438655 40.638369122)
BRONX,755019,Store,A,SAMI CONVENIENCE STORE INC,SAMI CONVENIENCE STORE,384,BEDFORD PARK BLVD,,,BRONX,NY,10458,900,POINT (-73.884217736 40.867701429)
KINGS,755016,Store,AC,ALI BABA HALAL MARKET INC,ALI BABA HALAL MARKET,1201,QUENTIN RD,,,BROOKLYN,NY,11229,4000,POINT (-73.960691036 40.608118037)
NEW YORK,755011,Store,A,MARKYS S CENTRAL PARK LLC,MARKY'S CAVIAR,89,E 42ND -GRAND CENTRAL TERMINAL,SPACE # MKT-23,,NEW YORK,NY,10017,,POINT (-73.9779236 40.7526066)
KINGS,755002,Store,AC,NFM PARK SLOPE LLC,NUTS FACTORY,244,5TH AVE,,,BROOKLYN,NY,11215,2000,POINT (-73.981298699 40.675419565)
KINGS,754980,Store,AC,JJ BROTHERS DELI GROCERY CORP,JJ BROTHERS DELI GROCERY,578,LIVONIA AVENUE,,,BROOKLYN,NY,11207,,POINT (-73.895753163 40.664402475)
BRONX,754963,Store,AC,TYE ARI LLC,TYE ARI,3820,DYRE AVENUE,,,BRONX,NY,10466,,POINT (-73.831134892 40.888528238)
KINGS,754962,Store,A,HEYDAY & EPOCH INC,HEYDAY & EPOCH,6512,20TH AVE.,,,BROOKLYN,NY,11204,,POINT (-73.98627185 40.616332009)
QUEENS,754961,Store,A,67 ST GROCERY CORP,67 ST GROCERY,67-05,WOODSIDE AVE,,,WOODSIDE,NY,11377,,POINT (-73.897259307 40.743192532)
BRONX,754960,Store,A,ZACK MINI MARKET DELI & GROCERY CORP,ZACK MINI MARKET DELI & GROCERY,105,E 175TH ST,,,BRONX,NY,10453,800,POINT (-73.910289898 40.846979018)
RICHMOND,754959,Store,A,ROSY CONVENIENCE INC,ROSY CONVENIENCE,81,NEW DORP PLAZA N,,,STATEN ISLAND,NY,10306,2000,POINT (-74.118032434 40.573338042)
KINGS,754958,Store,A,SUN FAR JQ LLC,SUN FAR JQ,6916,BAY PKWY,,,BROOKLYN,NY,11204,,POINT (-73.984298247 40.611342681)
KINGS,754952,Store,AC,M&A DELI MARKET CORP,M&A DELI MARKET,3915,9TH AVE,,,BROOKLYN,NY,11232,800,POINT (-73.995394043 40.645473246)
QUEENS,754947,Store,AC,MADINA SUPERMARKET INC,AFTAB SUPER MARKET,144-01,HILLSIDE AVE,,,JAMAICA,NY,11435,4000,POINT (-73.811744532 40.705338056)
RICHMOND,754926,Store,AC,JMD MARKETPLACE INC,TOWN SQUARE BAGELS,234,JEWETT AVENUE,,,STATEN ISLAND,NY,10302,2000,POINT (-74.13077804 40.63129358)
BRONX,754925,Store,AC,TROCHEZ MEAT 2 CORP,TROCHEZ MEAT 2,106,W 168TH STREET,,,BRONX,NY,10452,,POINT (-73.924624796 40.838223575)
QUEENS,754922,Store,AC,H MART LIC LLC,H MART,48-18,NORTHERN BLVD,,,LONG ISLAND CITY,NY,11101,,POINT (-73.913631762 40.753324116)
BRONX,754913,Store,A,SAM CONVENIENT INC,SAM CONVENIENT,2420,WILLIAMSBRIDGE RD,,,BRONX,NY,10469,1200,POINT (-73.857483488 40.861760043)
QUEENS,754899,Store,AC,ZAZA EXOTIC MAKE YOURSELF HAPPY CORP,ZAZA EXOTIC MAKE YOURSELF HAPPY,84-30,ROOSEVELT AVE,,,JACKSON HEIGHTS,NY,11372,1000,POINT (-73.881325309 40.747792479)
QUEENS,754891,Store,AC,HA DELI AND GROCERY 1 CORP,HA DELI AND GROCERY 1,198-37,JAMAICA AVE UNIT B,,,HOLLIS,NY,11423,850,POINT (-73.759772374 40.713624112)
KINGS,754871,Store,AC,BARBU GOURMET DELI INC,BARBU GOURMET DELI,643,MARCY AVENUE,,,BROOKLYN,NY,11206,,POINT (-73.948515986 40.692587421)
QUEENS,754870,Store,AC,TEJADA FAMILY GROCERY CORP,TEJADA FAMILY GROCERY,39-02,104TH STREET,,,CORONA,NY,11368,,POINT (-73.86231289 40.750805689)
KINGS,754869,Store,AC,MONARCAS DELI & GROCERY CORPORATION,MONARCAS DELI & GROCERY,6106,3RD AVENUE,,,BROOKLYN,NY,11220,900,POINT (-74.021481794 40.641473402)
KINGS,754868,Store,AC,LAS CONCHITAS GROCERY CORP,LAS CONCHITAS GROCERY,4724,5TH AVE,,,BROOKLYN,NY,11220,800,POINT (-74.00919384 40.64640326)
KINGS,754865,Store,AC,DEKALB FRESH MARKET LLC,GREEN WAY MARKETS,825,DEKALB AVENUE,,,BROOKLYN,NY,11221,,POINT (-73.943290708 40.692422004)
KINGS,754863,Store,AC,GASTRONOM ODESSA INC,GASTRONOM ODESSA,1079,BRIGHTON BEACH AVE,,,BROOKLYN,NY,11235,1500,POINT (-73.957221682 40.578296315)
KINGS,754860,Store,AC,MYRTLE DELI CORP,MYRTLE DELI,158,NOSTRAND AVE,,,BROOKLYN,NY,11205,800,POINT (-73.952585819 40.694742785)
BRONX,754859,Store,AC,TASTY DELI CORP,TASTY DELI,2538,MARION AVE,,,BRONX,NY,10458,,POINT (-73.892556628 40.862184285)
BRONX,754856,Store,AC,WEST FORDHAM GROCERY INC,WEST FORDHAM GROCERY,150,W FORDHAM ROAD,,,BRONX,NY,10468,,POINT (-73.907867444 40.862684609)
QUEENS,754843,Store,AC,BO LUO MI INC,BO LUO MI,4120,MAIN ST #A1,,,FLUSHING,NY,11355,500,POINT (-73.829389025 40.757622859)
BRONX,754842,Store,AC,B&B FOOD AND FRIED CHICKEN INC,B&B FOOD AND FRIED CHICKEN,755,WHITE PLAINS RD,,,BRONX,NY,10473,1400,POINT (-73.858610519 40.821103119)
QUEENS,754841,Store,AC,CORNER 4295 INC,CORNER 4295,42-95,MAIN ST STORE #5,,,FLUSHING,NY,11355,,POINT (-73.826824414 40.752741406)
QUEENS,754840,Store,AC,Q SUSHI INC THE,Q SUSHI,176-19,UNION TPKE,,,FRESH MEADOWS,NY,11366,,POINT (-73.792784667 40.725644892)
RICHMOND,754834,Store,A,POST CORNER CONVENIENCE LLC,POST CORNER CONVENIENCE,868,POST AVENUE,,,STATEN ISLAND,NY,10310,600,POINT (-74.130148391 40.630803113)
KINGS,754822,Store,A,TESOLIFE BK INC,TESOLIFE,2159,86TH ST,,,BROOKLYN,NY,11214,,POINT (-73.994387879 40.602503252)
NEW YORK,754820,Store,A,TESOLIFE K TOWN INC,TESOLIFE,1265,BROADWAY,,,NEW YORK,NY,10001,6000,POINT (-73.988372187 40.748054916)
NEW YORK,754819,Store,A,TESOLIFE ST MARKS INC,TESOLIFE,19-23,ST MARKS PLACE,,,NEW YORK,NY,10003,,POINT (-73.988577711 40.729122083)
QUEENS,754818,Store,A,TESOLIFE HOLDING INC,TESOLIFE,13355,41ST AVE,,,FLUSHING,NY,11355,,POINT (-73.829727403 40.757381041)
KINGS,754817,Store,A,TESOLIFE SAVE INC,TESOLIFE,765,61ST ST,,,BROOKLYN,NY,11220,10000,POINT (-74.010673582 40.635351511)
NEW YORK,754804,Store,AC,603 GOURMET DELI CORP,603 GOURMET DELI,603,2ND AVE,,,NEW YORK,NY,10016,,POINT (-73.976467873 40.744290855)
QUEENS,754802,Store,AC,WING FUNG 2019 INC,WING FUNG 2019,41-60,MAIN ST. UNIT 102,,,FLUSHING,NY,11354,1000,POINT (-73.828847638 40.75626629)
KINGS,754800,Store,AC,BROOKLYN FAMOUS DELI GROCERY INC,BROOKLYN FAMOUS DELI GROCERY,4701,AVENUE N,,,BROOKLYN,NY,11234,,POINT (-73.929619656 40.61891485)
QUEENS,754796,Store,AC,TARIM FRESH MEATS LLC,TARIM FRESH MEATS,147-48,NORTHERN BLVD,,,FLUSHING,NY,11354,1100,POINT (-73.817586048 40.765202111)
BRONX,754784,Store,AC,WATERS ORGANIC DELI CORP,WATERS ORGANIC DELI,1497,WILLIAMSBRIDGE RD,,,BRONX,NY,10461,1000,POINT (-73.846285853 40.844277614)
QUEENS,754783,Store,AC,SHAMBHU 7902 INC,EXPRESS DELI,79-02,PARSONS BLVD,,,FRESH MEADOWS,NY,11366,2000,POINT (-73.809488962 40.720845205)
BRONX,754773,Store,AC,LA PRESION DELI GROCERY CORP,LA PRESION DELI GROCERY,269,E 188TH STREET,,,BRONX,NY,10458,,POINT (-73.89555074 40.860926547)
BRONX,754765,Store,AC,WZ DELI MINI MARKET INC,ZEREGA MINI MARKET,2366,WESTCHESTER AVE,,,BRONX,NY,10462,1200,POINT (-73.846702098 40.836550463)
NEW YORK,754753,Store,AC,HEALTHY & FRESH GOURMET DELI CORP,HEALTHY & FRESH GOURMET DELI,110,VARICK STREET,,,NEW YORK,NY,10013,2000,POINT (-74.005782154 40.724532782)
NEW YORK,754752,Store,AC,HUDSON SQUARE NATURAL FOOD & DELI CORP,HUDSON SQUARE NATURAL FOOD & DELI,549,GREENWICH STREET,,,NEW YORK,NY,10013,,POINT (-74.008730992 40.727348263)
KINGS,754751,Store,AC,476 MARCUS GARVEY MEAT LLC,KEY FOOD FRESH SUPERMARKET,476,MARCUS GARVEY BLVD,,,BROOKLYN,NY,11216,7500,POINT (-73.937667876 40.680385046)
KINGS,754741,Store,AC,SUPERIOR STOP DELI CORP,SUPERIOR STOP DELI,1083,UTICA AVE,,,BROOKLYN,NY,11203,,POINT (-73.929616303 40.646484061)
BRONX,754737,Store,AC,BANI 03 DELI GROCERY CORP,BANI 03 DELI GROCERY,766,E 152ND ST,,,BRONX,NY,10455,,POINT (-73.906467079 40.815589629)
BRONX,754734,Store,AC,OLIVES FOOD MARKET CORP,OLIVES FOOD MARKET,4200,BAYCHESTER AVE,,,BRONX,NY,10466,,POINT (-73.844515762 40.895708469)
KINGS,754726,Store,AC,BATH CORNER INC,BATH CORNER SNACKS,2171,BATH AVE,,,BROOKLYN,NY,11214,1000,POINT (-73.997392791 40.598767312)
KINGS,754722,Store,AC,PS QUALITY FOODS INC,PS QUALITY FOODS,8612,25TH AVE,,,BROOKLYN,NY,11214,2500,POINT (-73.987663665 40.597724687)
RICHMOND,754709,Store,AC,ASIAN FOOD MARKETS OF FOREST AVE LLC,ASIAN FOOD MARKETS,2343,FOREST AVE,,,STATEN ISLAND,NY,10303,8000,POINT (-74.167707951 40.628754073)
KINGS,754707,Store,A,CVS ALBANY LLC,CVS/PHARMACY #11502,79,JAY ST,,,BROOKLYN,NY,11201,,POINT (-73.986579047 40.702198069)
NEW YORK,754705,Store,A,CVS ALBANY LLC,CVS/PHARMACY #11384,217,BROADWAY,,,NEW YORK,NY,10007,8000,POINT (-74.008613645 40.711650048)
KINGS,754698,Store,AC,A & S SUPERETTE I CORP,A & S SUPERETTE I,9423,FOSTER AVE,,,BROOKLYN,NY,11236,1200,POINT (-73.907697878 40.647225022)
NEW YORK,754697,Store,AC,96TH DELI INC,96TH DELI MART,141,E 96TH ST,,,NEW YORK,NY,10128,2200,POINT (-73.951075903 40.786101674)
QUEENS,754688,Store,AC,SUNNY DELI & GROCERY INC,SUNNY DELI & GROCERY,84-77,PARSONS BLVD,,,JAMAICA,NY,11432,3000,POINT (-73.806353041 40.712176222)
KINGS,754676,Store,AC,FOSTER AVE DELI KING INC,FOSTER AVE DELI KING,1036,CONEY ISLAND AVE,,,BROOKLYN,NY,11230,2000,POINT (-73.966990958 40.63233696)
KINGS,754674,Store,AC,LA ESQUINA MELO GROCERY CORP,LA ESQUINA MELO GROCERY,1356,ROCKAWAY PKWY,,,BROOKLYN,NY,11236,,POINT (-73.903974888 40.646468723)
BRONX,754673,Store,AC,PERLA GROCERY CORP,PERLA GROCERY,1142,EAST 165TH STREET,,,BRONX,NY,10459,,POINT (-73.887475363 40.82515338)
BRONX,754670,Store,A,1 S&F DELI GROCERY CORP,1 S&F DELI GROCERY,260,BROOK AVE,,,BRONX,NY,10454,800,POINT (-73.918768528 40.808022404)
KINGS,754665,Store,A,66 MINI MARKET CORP,66 MINI MARKET,66,WYCKOFF AVE,,,BROOKLYN,NY,11237,,POINT (-73.920883198 40.705215386)
KINGS,754660,Store,AC,MANIN DELI GROCERY CORP,MANIN DELI GROCERY,2766,PITKIN AVE,,,BROOKLYN,NY,11208,1800,POINT (-73.869898093 40.675577773)
BRONX,754647,Store,AC,W & M GROCERY INC,W & M GROCERY,1105,MORRISON AVENUE,,,BRONX,NY,10472,950,POINT (-73.874132127 40.826882441)
KINGS,754612,Store,A,HUI FENG GROUP INC,HUI FENG GROUP,5217,8TH AVE,,,BROOKLYN,NY,11220,1100,POINT (-74.005151668 40.639537475)
BRONX,754609,Store,AC,DOLLY DELI CORP,DOLLY DELI,2001,SOUTHERN BLVD,,,BRONX,NY,10460,900,POINT (-73.88561458 40.843983032)
NEW YORK,754596,Store,AC,A&F ORGANIC GOURMET AND GRILL CORP,A&F ORGANIC GOURMET AND GRILL,2844,FREDERICK DOUGLASS BLVD,,,NEW YORK,NY,10039,1000,POINT (-73.939094475 40.826409827)
KINGS,754591,Store,AC,ZOOM DELI INC,ZOOM DELI,3202,MERMAID AVE,,,BROOKLYN,NY,11224,1000,POINT (-73.998657956 40.5749687)
QUEENS,754589,Store,AC,ADDICTION JUICE BAR & GRILL CORP,ADDICTION JUICE BAR & GRILL,16807,UNION TPKE,,,FRESH MEADOWS,NY,11366,,POINT (-73.799946668 40.723198257)
KINGS,754588,Store,AC,BUDDY GOURMET DELI CORP,BUDDY GOURMET DELI,1079,NOSTRAND AVE,,,BROOKLYN,NY,11225,,POINT (-73.950580868 40.661705095)
KINGS,754587,Store,AC,MOFFAT DELI GROCERY CORP,MOFFAT DELI GROCERY,112,MOFFAT ST,,,BROOKLYN,NY,11207,,POINT (-73.90793123 40.685841665)
QUEENS,754584,Store,AC,BOGOPA CAMBRIA HEIGHTS INC,FARMBRIA BY FOOD BAZAAR,217-20,LINDEN BLVD,,,CAMBRIA HEIGHTS,NY,11411,38000,POINT (-73.742009277 40.695599793)
BRONX,754567,Store,AC,4457 NATURAL DELI INC,4457 NATURAL DELI,4457,3RD AVE,,,BRONX,NY,10457,800,POINT (-73.892459745 40.852670498)
NEW YORK,754564,Store,AC,SEQUOIA FOOD & DELI CORPORATION,SEQUOIA FOOD & DELI,2709,FREDERICK DOUGLASS BLVD,,,NEW YORK,NY,10030,2200,POINT (-73.942656868 40.822145283)
QUEENS,754547,Store,AC,BEETY MARKET INC,BEETY MARKET,25-22,STEINWAY ST,,,ASTORIA,NY,11103,1250,POINT (-73.912430133 40.767455795)
QUEENS,754544,Store,AC,ELMHURST FARMS FOOD CORP,FARM COUNTRY SUPERMARKET,75-55,31ST AVENUE,,,EAST ELMHURST,NY,11370,20000,POINT (-73.892133103 40.759919961)
QUEENS,754538,Store,AC,TANVI FOOD MARKET INC,DITMARS BLVD SUPERMARKET,46-14,DITMARS BLVD,,,ASTORIA,NY,11105,6000,POINT (-73.902171354 40.769945891)
KINGS,754537,Store,AC,MCC1013FULTON INC,MAYA CONGEE CAFE,1013,FULTON STREET,,,BROOKLYN,NY,11238,,POINT (-73.961394529 40.682461034)
KINGS,754532,Store,AC,K & K SEAFOOD INC,K & K SEAFOOD,5518,8TH AVE,,,BROOKLYN,NY,11220,1500,POINT (-74.007157038 40.638015238)
BRONX,754531,Store,AC,BUY & BUY DELI CORP,BUY & BUY DELI,798,LYDIG AVE,,,BRONX,NY,10462,1000,POINT (-73.864029671 40.854341682)
NEW YORK,754529,Store,AC,MANHATTAN NEWS INC,MANHATTAN NEWS,101,E 125TH ST,,,NEW YORK,NY,10035,,POINT (-73.938922646 40.805182825)
QUEENS,754525,Store,AC,BRAVO CARNICERIA MINI MARKET INC,BRAVO CARNICERIA MINI MARKET,7007,GRAND AVE,,,MASPETH,NY,11378,2500,POINT (-73.892840535 40.727627338)
KINGS,754521,Store,AC,DARLIN MINI MARKET INC,DARLIN MINI MARKET,200,WINTHROP ST,,,BROOKLYN,NY,11225,1800,POINT (-73.953447311 40.656807381)
KINGS,754520,Store,ABC,HOMEPLATE SBC INC,SUGAR BUTTER CHOCOLATE,1413,BEDFORD AVE,,,BROOKLYN,NY,11216,1200,POINT (-73.953403558 40.67485035)
BRONX,754519,Store,AC,ANDREWS AVE DELI GROCERY LLC,ANDREWS AVE DELI GROCERY,1893,ANDREWS AVENUE,,,BRONX,NY,10453,1300,POINT (-73.914004254 40.853652647)
QUEENS,754513,Store,AC,OUR VILLAGE BAKERY & RESTAURANT CORP,OUR VILLAGE BAKERY & RESTAURANT,123-25,JAMAICA AVENUE,,,RICHMOND HILL,NY,11418,2000,POINT (-73.826512775 40.700909812)
KINGS,754512,Store,AC,ALEYA DELI GROCERY CORP,ALEYA DELI GROCERY,586,BUSHWICK AVENUE,,,BROOKLYN,NY,11206,,POINT (-73.935050291 40.698716143)
KINGS,754511,Store,AC,NEW JERSEY DELI & GRILL CORP,NEW JERSEY DELI & GRILL,403,NEW JERSEY AVENUE,,,BROOKLYN,NY,11207,,POINT (-73.894020707 40.66942642)
NEW YORK,754505,Store,A,F&A 99 CENTS &DISCOUNT LLC,F&A 99 CENTS &DISCOUNT,1848,2ND AVE,,,NEW YORK,NY,10128,1900,POINT (-73.947158118 40.783849205)
QUEENS,754499,Store,A,SOUTH HEMPSTEAD CONVENIENCE CORP,SOUTH HEMPSTEAD CONVENIENCE,220-10,HEMPSTEAD AVE,,,QUEENS VILLAGE,NY,11429,1250,POINT (-73.733734663 40.712590372)
RICHMOND,754497,Store,A,AMBOY SNACKS & DRINKS CORP,AMBOY SNACKS & DRINKS,7507,AMBOY RD,,,STATEN ISLAND,NY,10307,1200,POINT (-74.246334897 40.509312917)
KINGS,754493,Store,A,KA WING HONG CORP,KA WING HONG,6722,BAY PKWY,,,BROOKLYN,NY,11204,,POINT (-73.983243217 40.612361124)
KINGS,754490,Store,A,K&K GROCERY NY INC,K&K GROCERY NY,2308,86TH STREET,,,BROOKLYN,NY,11214,,POINT (-73.991410795 40.600296925)
KINGS,754473,Store,A,GOLDEN TREASURY NY INC,GOLDEN TREASURY NY,2067,86TH STREET,,,BROOKLYN,NY,11214,,POINT (-73.99646525 40.603726842)
NEW YORK,754472,Store,A,MADISON FARE LLC,MADISON FARE,1225,MADISON AVENUE,,,NEW YORK,NY,10128,,POINT (-73.957617057 40.78226469)
NEW YORK,754459,Store,AC,127 FAMILY GOURMET DELI 2366 INC,127 FAMILY GOURMET DELI 2366,2366,FREDERICK DOUGLASS BLVD,,,NEW YORK,NY,10027,1500,POINT (-73.950127323 40.811301573)
KINGS,754432,Store,AC,AMIRA FRESH MARKET CORP,AMIRA FRESH MARKET,7802,5TH AVE,,,BROOKLYN,NY,11209,1000,POINT (-74.023741136 40.627222574)
KINGS,754431,Store,AC,NXU DELI AND GRILL CORP,NXU DELI AND GRILL,6226,NEW UTRECHT AVE,,,BROOKLYN,NY,11219,1500,POINT (-73.997350127 40.625488232)
KINGS,754428,Store,A,4TH AVENUE CONVENIENCE INC,4T AVENUE CONVENIENCE,246,11TH ST.,,,BROOKLYN,NY,11215,1200,POINT (-73.989597202 40.66899647)
BRONX,754427,Store,AC,FAMILY AFRICAN MEAT MARKET CORPORATION,FAMILY AFRICAN MEAT MARKET,4028,WHITE PLAINS RD,,,BRONX,NY,10466,,POINT (-73.859401016 40.889358255)
NEW YORK,754426,Store,AC,1247JB LLC,JOLIEN BOULONGERIE,1247,3RD AVE,,,NEW YORK,NY,10021,,POINT (-73.960625794 40.769613367)
QUEENS,754421,Store,AC,EL QUETZALITO 4 CORP,EL QUETZALITO 4,108-69,ROOSEVELT AVE,,,CORONA,NY,11368,,POINT (-73.856366348 40.751561318)
BRONX,754419,Store,AC,CONTIS BAKING COMPANY INC,CONTIS PASTRY SHOPPE,784-788,MORRIS PARK AVE,,,BRONX,NY,10462,,POINT (-73.86274724 40.845777598)
QUEENS,754413,Store,AC,FARMER SERVICE CENTER INC,FARMER SERVICE CENTER,131-07,MERRICK BLVD,,,JAMAICA,NY,11434,1000,POINT (-73.761159579 40.679891268)
NEW YORK,754403,Store,AC,PHYO THIRI LLC,PHYO THIRI,1245,PARK AVE,,,NEW YORK,NY,10128,400,POINT (-73.952151553 40.786654461)
NEW YORK,754402,Store,AC,MOES SHAKES & JUICE BAR CORP,MOES SHAKES & JUICE BAR,134,AVE C,,,NEW YORK,NY,10009,600,POINT (-73.978067224 40.724926689)
NEW YORK,754390,Store,AC,108 PARK DELI CORP,108 PARK DELI,108,E 126TH STREET,,,NEW YORK,NY,10035,,POINT (-73.937820175 40.805324228)
NEW YORK,754389,Store,AC,BROADWAY MINI MARKET CORP,BROADWAY MINI MARKET,5008,BROADWAY - STORE 5,,,NEW YORK,NY,10034,,POINT (-73.917523983 40.868742713)
QUEENS,754388,Store,AC,CB DIRECTOR STORE INC,CB DIRECTOR STORE,4296A,MAIN STREET,,,FLUSHING,NY,11355,,POINT (-73.827263961 40.752568026)
KINGS,754387,Store,AC,CENTROAMERICANA DELI CORP,CENTROAMERICANA DELI,1729,86TH ST,,,BROOKLYN,NY,11214,,POINT (-74.003650888 40.608067704)
KINGS,754386,Store,AC,AL KAWKAB DELI $ GROCERY CORP,AL KAWKAB DELI $ GROCERY,184,BUFFALO AVE,,,BROOKLYN,NY,11213,1000,POINT (-73.925311861 40.67283928)
KINGS,754385,Store,AC,KINGS NATURAL MARKET CORP,KINGS NATURAL MARKET,390,TOMPKINS AVE,,,BROOKLYN,NY,11216,1600,POINT (-73.94414935 40.683827619)
RICHMOND,754383,Store,AC,HEBERTON FOOD CORP,HEBERTON FOOD,69,HEBERTON AVE,,,STATEN ISLAND,NY,10302,1200,POINT (-74.130302451 40.638007568)
BRONX,754377,Store,AC,233RD CARRIBEAN MEAT MARKET CORP,233RD CARRIBEAN MEAT MARKET,4206,WHITE PLAINS RD,,,BRONX,NY,10466,,POINT (-73.856987028 40.893731723)
KINGS,754373,Store,AC,TOTOPAN PANADERIA Y PASTELERIA GUATEMALT,TOTOPAN BAKERY,7117,20TH AVE,,,BROOKLYN,NY,11204,,POINT (-73.989623186 40.612717103)
NEW YORK,754370,Store,AC,1 GOLD DELI CORP,1 GOLD DELI,126,E 103RD STREET,,,NEW YORK,NY,10029,2200,POINT (-73.948261847 40.790459006)
NEW YORK,754369,Store,AC,MINI MARKET RJ CORP,MINI MARKET,2102,AMSTERDAM AVE,,,NEW YORK,NY,10032,1900,POINT (-73.93888652 40.83748601)
