County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
QUEENS,736376,Store,A,FEATHER FACTORY HOTEL INC,FEATHER FACTORY HOTEL,26-32,SKILLMAN AVENUE,,,LONG ISLAND CITY,NY,11101,300,POINT (-73.940651079 40.744187925)
KINGS,736372,Store,AC,RINCONCITO CHAPIN CORP,RINCONCITO CHAPIN,1738,BATH AVE,,,BROOKLYN,NY,11214,2000,POINT (-74.007341775 40.604451038)
QUEENS,736370,Store,AC,ALVAREZ PEANUTS INC,NEW YORK PEANUTS HONEY ROASTED,89-48,146TH STREET,,,JAMAICA,NY,11435,350,POINT (-73.80919283 40.702225478)
BRONX,736355,Store,AC,YAFAI GROCERY INC,YAFAI GROCERY,1769,PITMAN AVE,,,BRONX,NY,10466,,POINT (-73.850603538 40.895616729)
RICHMOND,736340,Store,AC,GONDAL FOOD MART INC,VICTORY HALAL FOOD & GR,1891,VICTORY BLVD UNIT A,,,STATEN ISLAND,NY,10314,1200,POINT (-74.126920856 40.612882353)
NEW YORK,736327,Store,AC,J&B MEAT MARKET INC,SHOP FAIR SUPERMARKET,42,AVENUE C,,,NEW YORK,NY,10009,,POINT (-73.980213662 40.721978606)
NEW YORK,736313,Store,AC,GAZAL INC,7 ELEVEN STORE #36478A,111,JOHN ST,,,NEW YORK,NY,10038,,POINT (-74.005656593 40.707704267)
BRONX,736304,Store,A,PAPA 99 CENTS INC,PAPA 99 CENTS,2474,GRAND CONCOURSE,,,BRONX,NY,10458,,POINT (-73.897205831 40.861654221)
NEW YORK,736284,Store,AC,ALV SUPERMARKET LLC,MET FRESH,119,AVENUE D,,,NEW YORK,NY,10009,13000,POINT (-73.976018603 40.723957741)
BRONX,736230,Store,AC,WILTON AVE DELI & GROCERY INC,WILTON AVE DELI & GROCERY,143,E 149TH STREET,,,BRONX,NY,10451,,POINT (-73.928031872 40.818917957)
KINGS,736228,Store,AC,LOVE FIELD INC,SUNRISE MART,934,3RD AVENUE,,,BROOKLYN,NY,11232,5000,POINT (-74.006411216 40.655972376)
QUEENS,736210,Store,A,JI LI GROCERY INC,JI LI GROCERY,43-29,MAIN STREET,,,FLUSHING,NY,11355,1000,POINT (-73.826099631 40.751831089)
RICHMOND,736209,Store,A,WALGREEN EASTERN CO INC,WALGREENS #16288,55B,RICHMOND TERR SPC 100,,,STATEN ISLAND,NY,10301,2000,POINT (-74.076033316 40.643682033)
BRONX,736203,Store,AC,1537 GROCERY CORP,1537 GROCERY,1537,BRUCKNER BLVD,,,BRONX,NY,10472,750,POINT (-73.877428562 40.824015537)
BRONX,736193,Store,AC,MUNCHIES DELI GROCERY CORP,MUNCHIES DELI GROCERY,1215,GRAND CONCOURSE,,,BRONX,NY,10452,1500,POINT (-73.917647951 40.835028603)
KINGS,736181,Store,AC,17 GOURMET DELI GRILL INC,17 GOURMET DELI GRILL,1702,86TH ST,,,BROOKLYN,NY,11214,1500,POINT (-74.004816475 40.608385126)
QUEENS,736171,Store,AC,LA PARADITA CORP,LA PARADITA,127-60,WILLETS POINT BLVD,,,CORONA,NY,11368,200,POINT (-73.840900312 40.760012791)
NEW YORK,736160,Store,AC,MINI MARKET BEST WAY DELI CORP,MINI MARKET BEST WAY,2320,7TH AVE,,,NEW YORK,NY,10030,1200,POINT (-73.943232634 40.816205722)
RICHMOND,736154,Store,AC,QUALITY #1 FOOD CORP,EDEN DELI & BAGELS,2894,RICHMOND TERRACE,,,STATEN ISLAND,NY,10303,2000,POINT (-74.156687928 40.636773752)
NEW YORK,736151,Store,A,HENG YUN GROCERY INC,HENG YUN GROCERY,329,GRAND ST,,,NEW YORK,NY,10002,1800,POINT (-73.990415276 40.71700797)
KINGS,736127,Store,AC,BUSHWICK MARKET INC,MET FRESH SUPERMARKET,1381,MYRTLE AVENUE,,,BROOKLYN,NY,11237,5500,POINT (-73.920949834 40.69864343)
RICHMOND,736125,Store,AC,T&E EXPRESS DELI CORP,T&E EXPRESS DELI,4178,VICTORY BLVD,,,STATEN ISLAND,NY,10314,1200,POINT (-74.192364241 40.590473418)
NEW YORK,736123,Store,AC,DON PANCHITO DELI & GROCERY CORP,DON PANCHITO DELI & GROCERY,231,EAST 116TH STREET,,,NEW YORK,NY,10029,,POINT (-73.938661634 40.797551773)
QUEENS,736116,Store,AC,COLOMBOS FRUIT MARKET CORP,COLOMBOS FRUIT MARKET,75-49,METROPOLITAN AVE,,,MIDDLE VILLAGE,NY,11379,1500,POINT (-73.875807586 40.713210297)
BRONX,736110,Store,A,WALGREENS EASTERN CO INC,WALGREENS #18988,2750,BOSTON RD,,,BRONX,NY,10469,,POINT (-73.861115619 40.866109287)
BRONX,736107,Store,A,WALGREEN EASTERN CO INC,WALGREENS #17665,3480,JEROME AVE,,,BRONX,NY,10467,7000,POINT (-73.881528822 40.882231584)
KINGS,736104,Store,AC,C&B DELI GROCERY CORP,C&B DELI GROCERY,4002,8TH AVENUE,,,BROOKLYN,NY,11232,1200,POINT (-73.998106846 40.646712552)
KINGS,736092,Store,AC,HENA 350 INC,HENA 350,350,JAY STREET,,,BROOKLYN,NY,11201,,POINT (-73.98776056 40.693456163)
KINGS,736082,Store,AC,DIKSHA 1426 INC,DIKSHA 1426,1426,BEDFORD AVE,,,BROOKLYN,NY,11216,1800,POINT (-73.95389985 40.674386286)
QUEENS,736081,Store,AC,CM DELI GROCERY CORP,CM DELI GROCERY,41-17,108TH STREET,,,CORONA,NY,11368,,POINT (-73.857984894 40.749574807)
KINGS,736080,Store,A,WALGREEN EASTERN CO INC,WALGREENS #17772,462,5TH AVE,,,BROOKLYN,NY,11215,12000,POINT (-73.987029155 40.668542297)
QUEENS,736077,Store,AC,ALMONTE GARDENS FOOD CORP,FINE FARE SUPERMARKET,145-44,FARMERS BLVD,,,JAMAICA,NY,11434,6800,POINT (-73.76825419 40.664891266)
KINGS,736064,Store,A,U & A MINI MART LLC,U & A MINI MART,9627,AVENUE L,,,BROOKLYN,NY,11236,1000,POINT (-73.895433477 40.638755905)
RICHMOND,736045,Store,AC,NUEVA MICHOACANA DELI INC,NUEVA MICHOACANA DELI,274,SAND LANE,,,STATEN ISLAND,NY,10305,1500,POINT (-74.06841316 40.592656904)
QUEENS,736039,Store,A,WALGREEN EASTERN CO INC,WALGREENS #18412,9602,ROCKAWAY BLVD,,,OZONE PARK,NY,11417,4000,POINT (-73.84242959 40.680116238)
QUEENS,736036,Store,A,WALGREEN EASTERN CO INC,WALGREENS #17876,6036,MYRTLE AVE,,,RIDGEWOOD,NY,11385,10000,POINT (-73.897067613 40.70048376)
QUEENS,736033,Store,A,WALGREEN EASTERN CO INC,WALGREENS #19586,6129,SPRINGFIELD BLVD,,,OAKLAND GARDENS,NY,11364,9000,POINT (-73.755991298 40.748201139)
QUEENS,735994,Store,AC,KW SUPERMARKET INC,KW SUPERMARKET,37-04,UNION ST,,,FLUSHING,NY,11354,5000,POINT (-73.827079449 40.767468916)
KINGS,735988,Store,AC,CS MINI MARKET INC,FOOD UNIVERSE MARKETPLACE,773,NEW LOTS AVE,,,BROOKLYN,NY,11208,5000,POINT (-73.882048751 40.666789096)
KINGS,735979,Store,AC,SUB HUB CORPORATION,SUB HUB,471,7TH AVE,,,BROOKLYN,NY,11215,500,POINT (-73.985299549 40.662228796)
NEW YORK,735972,Store,AC,RED OLIVE DELI INC,RED OLIVE DELI,567,W 125TH STREET,,,NEW YORK,NY,10027,942,POINT (-73.957858707 40.815459835)
KINGS,735969,Store,AC,EL MERCADITO GROCERY 2 CORP,EL MERCADITO GROCERY 2,216,RIDGEWOOD AVENUE,,,BROOKLYN,NY,11208,700,POINT (-73.880839913 40.683303583)
NEW YORK,735963,Store,AC,SMALL AND MIGHTY KRUPA INC,GOODS MART,189,LAFAYETTE ST,,,NEW YORK,NY,10013,250,POINT (-73.998294265 40.72073645)
KINGS,735960,Store,AC,NUT HOUSE INC,NUT HOUSE,1117,BRIGHTON BEACH AVENUE,,,BROOKLYN,NY,11235,1200,POINT (-73.956301098 40.578007768)
QUEENS,735959,Store,A,JAMAICA 97 DELI & GROCERY INC,JAMAICA 97 DELI & GROCERY,97-01,SUTPHIN BLVD,,,JAMAICA,NY,11435,,POINT (-73.805422733 40.697295494)
BRONX,735940,Store,AC,SAN DIEGO DELI GROCERY CORP,SAN DIEGO DELI GROCERY,1303-1305,BRONX RIVER AVE,,,BRONX,NY,10472,800,POINT (-73.881791008 40.831534355)
KINGS,735937,Store,AC,SPECTACULAR SIRIUS A LLC,STARGATE GROCERIES,1104,ROGERS AVE,,,BROOKLYN,NY,11226,,POINT (-73.951794651 40.642901594)
QUEENS,735926,Store,AC,ALVA GROCERY CORP,ALVA GROCERY,105-44,OTIS AVE,,,CORONA,NY,11368,1500,POINT (-73.854719328 40.739484679)
QUEENS,735897,Store,AC,AZAAL 1 DELI GROCERY CORP,AZAAL 1 DELI GROCERY,34-61,JUNCTION BLVD,,,CORONA,NY,11368,2000,POINT (-73.87166986 40.753476541)
NEW YORK,735886,Store,AC,HUDSON MARKET 57 INC,HUDSON MARKET,601,W 57TH STREET,,,NEW YORK,NY,10019,2000,POINT (-73.99196115 40.770768533)
NEW YORK,735881,Store,AC,1933 DELI GROCERY CORP,1933 DELI GROCERY,1933,MADISON AVE,,,NEW YORK,NY,10035,600,POINT (-73.9409395 40.805100892)
KINGS,735864,Store,AC,TARGET CORPORATION,TARGET STORE T-3243,1715,E 13TH ST,,,BROOKLYN,NY,11229,35000,POINT (-73.9598277 40.607632851)
BRONX,735844,Store,AC,CANA ARRIBA GROCERY 2 INC,CANA ARRIBA GROCERY 2,3868,BARNES AVENUE,,,BRONX,NY,10467,800,POINT (-73.858756448 40.884583965)
KINGS,735842,Store,AC,LA ABUELITA CORP,LA ABUELITA,123,WYCKOFF AVE,,,BROOKLYN,NY,11237,550,POINT (-73.918923174 40.704261358)
KINGS,735823,Store,AC,LUCKY 7S DELI ON 5TH CORP,LUCKY 7S DELI ON 5TH,7626,5TH AVENUE,,,BROOKLYN,NY,11209,1500,POINT (-74.023352803 40.628170022)
KINGS,735816,Store,AC,WAN JIA MINI MART INC,WAN JIA MINI MART,5623,FORT HAMILTON PARKWAY,,,BROOKLYN,NY,11219,750,POINT (-74.003129366 40.634519649)
